"","Participant_ID","Label","PennElementName.","Value."
"1","Participant_001","AgeQ","Age","35"
"2","Participant_001","JapanQ","Japan","No"
"3","Participant_001","Item2P","textResponse","子供たちはどこかに歩いてます。"
"4","Participant_001","Item1P","textResponse","朝です。"
"5","Participant_001","Item1A","textResponse","男の人は果物を置いたんです。"
"6","Participant_001","Filler4","textResponse","男の子は自転車から転んだったんです。"
"7","Participant_001","Item2A","textResponse","動物は果物が食べたいみたいです。"
"8","Participant_001","Filler2","textResponse","子供たちは果物を掃除しているんです。"
"9","Participant_001","Filler1","textResponse","忘れ物です。"
"10","Participant_001","Filler3","textResponse","馬に乗っている時、帽子が転んだんです。"
"11","Participant_002","AgeQ","Age","41"
"12","Participant_002","JapanQ","Japan","30years"
"13","Participant_002","Item1A","textResponse","梨を収穫しています"
"14","Participant_002","Filler1","textResponse","男の子が友達に呼び止められました。"
"15","Participant_002","Filler4","textResponse","男の子たちは何かを企んでいます"
"16","Participant_002","Filler3","textResponse","男の子は、すれ違い様に、帽子を取られてしまいました。"
"17","Participant_002","Item2P","textResponse","男の子たちは山道を歩きます。"
"18","Participant_002","Item1P","textResponse","山奥で鶏が鳴いています"
"19","Participant_002","Filler2","textResponse","落ちた梨をみんなで拾います。"
"20","Participant_002","Item2A","textResponse","やぎが連れてこられました"
"21","Participant_003","AgeQ","Age","49"
"22","Participant_003","JapanQ","Japan","24 years"
"23","Participant_003","Filler3","textResponse","カウボーイの子どもがすれ違いざまにカウボーイハットを取られました"
"24","Participant_003","Item2A","textResponse","子供の山羊は行きたくないけど連れてかれてます"
"25","Participant_003","Filler1","textResponse","おしちゃりで振り向くと友達がついてきました"
"26","Participant_003","Item1P","textResponse","木の間から山が見えます"
"27","Participant_003","Filler2","textResponse","子供達が洋梨をたくさんおとしてまいました"
"28","Participant_003","Filler4","textResponse","落としたままです"
"29","Participant_003","Item1A","textResponse","もぎたての洋梨をエプロンのポケットからテーブルにあけました"
"30","Participant_003","Item2P","textResponse","3人は次の仕事へ向かいます"
"31","Participant_004","AgeQ","Age","68"
"32","Participant_004","JapanQ","Japan","47"
"33","Participant_004","Item2A","textResponse","男の人がロバを連れて歩いている。ロバは目の前の樽の中が気になる様子である。"
"34","Participant_004","Filler3","textResponse","馬に乗った二人の少年が正対して走っている。すれ違いざまに、一方の少年は他方の少年の帽子を取った。"
"35","Participant_004","Item2P","textResponse","三人の子供が野山を散歩している。廻りには小鳥の鳴き声が聞こえる。"
"36","Participant_004","Item1P","textResponse","女の子が、木の上に飼っている鶏の卵を、梯子を使って取りに行く。"
"37","Participant_004","Item1A","textResponse","農夫が林檎をエプロンの中から取り出した。"
"38","Participant_004","Filler1","textResponse","自転車を曳いている子供は、後ろの誰かの口笛で振り向いた。"
"39","Participant_004","Filler4","textResponse","自転車の籠にリンゴを入れて走っていた少年は、一群の少年の前を通る時に転んで、林檎を道路に落としてしまった。"
"40","Participant_004","Filler2","textResponse","よく見たらリンゴではなく、洋梨だった。落ちた洋梨は、見ていた少年たちも一緒に拾ってくれた。"
"41","Participant_005","AgeQ","Age","28"
"42","Participant_005","JapanQ","Japan","24"
"43","Participant_005","Filler1","textResponse","自転車を引いて歩いている男の子が立ち止まって後ろを振り返ると、帽子を持った男の子がその子の方に向かって歩いてきている。2人の男の子が後ろからその様子を見ている。"
"44","Participant_005","Item2P","textResponse","自転車を弾いて歩いている男の子が後ろを振り返ると、帽子を持った男の子がその子に向かって歩いて行った。後ろに2人の男の子たちが後ろで見ている。"
"45","Participant_005","Item1P","textResponse",""
"46","Participant_005","Item1A","textResponse",""
"47","Participant_005","Item2A","textResponse",""
"48","Participant_005","Filler3","textResponse",""
"49","Participant_005","Filler4","textResponse",""
"50","Participant_005","Filler2","textResponse",""
"51","Participant_006","AgeQ","Age","28"
"52","Participant_006","JapanQ","Japan","24 years"
"53","Participant_006","Filler1","textResponse","自転車を引いて歩いている男の子が後ろを振り返ると、帽子を持った別の男の子がその子に向かって歩いてきている。その様子を後ろに立って見ている男の子が二人いる。"
"54","Participant_006","Filler4","textResponse","男の子が自転車から転倒して足を払っている。顔を見上げると、３人の男の子がいて、そのうちの一人は卓球のラケットのようなものを持っている。"
"55","Participant_006","Item1P","textResponse","気が生い茂っている草原の中で、鶏の鳴き声が何度も聞こえる。"
"56","Participant_006","Item2A","textResponse","男の人がロープを使って山羊を引いて籠のそばを歩いている。"
"57","Participant_006","Filler3","textResponse","男の子二人が馬に乗って反対方向からお互いに向かって走っている。すれ違ったときに一人の男の子の帽子が脱げてしまった。"
"58","Participant_006","Item1A","textResponse","赤いハンカチを首に巻いた男性が、自分の着ているエプロンの上に集めたリンゴを机の上にほかのリンゴと一緒に並べている。"
"59","Participant_006","Item2P","textResponse","３人の男の子が奥に向かって道を歩いている。周りには茂みがあり、虫の音が聞こえる。"
"60","Participant_006","Filler2","textResponse","一人の男のは自転車を支えているが、ほかの絵３人の男の子は籠に洋ナシを入れるのを手伝っている。"
